,original_timestamp,lat,lon,alt,x_ned,y_ned,yaw,surge,sway,yaw_rate,surge_dot,surge_dot_bias,sway_dot,sway_dot_bias,yaw_acc,thr_left,thr_right,right_force,left_force,thr_left_pwm_zero_point,thr_right_pwm_zero_point
3,3873002.731,63.4013904,10.3149425,220.99,-43.76385286405538,2.273978478846985,58.87905502319336,0.003746755672262616,0.0022623019296218777,-0.0005602919264925515,-0.001513469815255221,0.03500000000000092,-0.0030480390787131495,-0.16499999999999926,3.339420454771629e-05,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
4,3873102.731,63.4013904,10.3149425,220.99,-43.76385286405538,2.273978478846985,58.90499114990234,0.00302994412632041,0.0018276768590315138,-0.0005574910332708904,-0.0028336456418047162,0.03500000000000092,0.005834602713584158,-0.16499999999999926,2.262365988550555e-05,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
5,3873202.731,63.4013904,10.3149425,220.99,-43.76385286405538,2.273978478846985,58.91972351074219,0.00244857724166587,0.0014761936570632948,-0.0005557671945154504,-0.003958031386138018,0.03500000000000092,0.003408052921294452,-0.16499999999999926,1.1853115223295352e-05,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
6,3873302.731,63.4013904,10.3149426,221.01,-43.763852997441006,2.278976240814906,58.93590927124024,0.002003191353666786,0.0012069639010829916,-0.0005551204102262313,-0.0023671238124380184,0.03500000000000092,-0.004954821467400339,-0.16499999999999926,1.0825705610846125e-06,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
7,3873402.731,63.4013904,10.3149426,221.01,-43.763852997441006,2.278976240814906,58.95110702514648,0.001693792129301162,0.0010199783613609053,-0.0005555506804032335,-0.00146868810057732,0.03500000000000092,0.004195549488066969,-0.16499999999999926,-9.687974101126127e-06,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
8,3873502.731,63.4013904,10.3149426,221.01,-43.763852997441006,2.278976240814906,58.95090103149414,0.0015202242552750708,0.0009154952565405383,-0.0005570580050464566,-0.011722091436387118,0.03500000000000092,0.005126335620879469,-0.16499999999999926,-2.0458518763336866e-05,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
9,3873602.731,63.4013904,10.3149426,221.01,-43.763852997441006,2.278976240814906,58.94414520263672,0.0014827091712132177,0.0008931469648415831,-0.0005596423841559008,-0.0017439758777628225,0.03500000000000092,0.0030478918552391543,-0.16499999999999926,-3.1229063425526464e-05,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
10,3873702.731,63.4013904,10.3149427,221.01,-43.763852993865584,2.2839739956835423,58.93833541870117,0.0015813502024325844,0.0009527619029744088,-0.0005633038177315619,-0.00494435600936512,0.03500000000000092,0.007562839388846665,-0.16499999999999926,-5.60151858887062e-05,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
11,3873802.731,63.4013904,10.3149427,221.01,-43.763852993865584,2.2839739956835423,58.9273567199707,0.0002529751540245313,0.0037903142255595423,-0.0005708454213336421,-0.00737818315625292,0.03500000000000092,0.005906187891959458,-0.16499999999999926,3.475221462689512e-05,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
12,3873902.731,63.4013904,10.3149426,221.02,-43.76385306592054,2.2789762443776063,58.908329010009766,-0.0004633764227402954,0.00497621258178024,-0.0005563533748061828,-0.005483446493745818,0.03500000000000092,-0.003409049510956552,-0.16499999999999926,7.619569500520848e-05,1510,1510,-0.06707080291970803,0.13438029197080292,1511.0,1511.0
